Job ID,Job Title,Company Name,Location,Professionalism,ApplicationLink,Description,Requirements
1,Graduate Trainee - Engineering & Science (UAE Nationals),ADNOC HQ,Abu Dhabi,Graduate Trainee Program,https://jobs.adnoc.ae/us/en/job/17926/Graduate-Trainee-Engineering-Science-UAE-Nationals,"The ADNOC Group recognizes the importance of having a skilled and engaged workforce in order to maintain and improve the levels of service that ADNOC Group provides globally. In order to achieve its progressive agenda, ADNOC Group provides rigorous training and development at all levels within the organisation especially for UAE National Fresh Graduates. The ADNOC Fresh Graduate Program is a key initiative focused on developing the knowledge of its Trainees who may then become a permanent part of the ADNOC Group at the end of the program. Objectives include skill development, selection of top-tier candidates, facilitating the transition from Trainee to Employee, and providing valuable real-life work experience.","Eligibility Criteria includes: 1. This program is reserved for UAE Nationals; 2. Medical fitness in accordance with the work environment of the role; 3. Government clearances including certificate of good conduct from Ministry of Interior; 4. Completion of all entry Assessments and interviews, including personality and ability assessments; 5. Successful completion of National Service, unless exempted by UAE law."
2,Graduate Trainee - Other Discipline (UAE Nationals),ADNOC HQ,Abu Dhabi,Graduate Trainee Program,https://jobs.adnoc.ae/us/en/job/17942/Graduate-Trainee-Other-Discipline-UAE-Nationals,"The ADNOC Group recognizes the importance of having a skilled and engaged workforce to maintain and improve the levels of service that ADNOC Group provides globally. In order to achieve its progressive agenda, ADNOC Group provides rigorous training and development at all levels within the organization especially for UAE National Fresh Graduates. The ADNOC Fresh Graduate Program (AGFGP) is a key initiative focused on developing the knowledge of its Trainees who may then become a permanent part of the ADNOC Group at the end of the program.","This program is reserved for UAE Nationals; Medical fitness in accordance with the work environment of the role; Government clearances including certificate of good conduct from Ministry of Interior; Completion of all entry Assessments and interviews, including but not limited to, personality and ability assessments; and Successful completion of National Service, unless exempted by UAE law."
3,Graduate Trainee - Technology & Artificial Intelligence (UAE Nationals),ADNOC HQ,Abu Dhabi,Graduate Trainee Program,https://jobs.adnoc.ae/us/en/job/17941/Graduate-Trainee-Technology-Artificial-Intelligence-UAE-Nationals,"The ADNOC Group recognizes the importance of having a skilled and engaged workforce in order to maintain and improve the levels of service that ADNOC Group provides globally. In order to achieve its progressive agenda, ADNOC Group provides rigorous training and development at all levels within the organisation especially for UAE National Fresh Graduates. The ADNOC Fresh Graduate Program is a key initiative focused on developing the knowledge of its Trainees who may then become a permanent part of the ADNOC Group at the end of the program.","1. This program is reserved for UAE Nationals; 2. Medical fitness in accordance with the work environment of the role; 3. Government clearances including certificate of good conduct from Ministry of Interior; 4. Completion of all entry Assessments and interviews, including but not limited to, personality and ability assessments; and 5. Successful completion of National Service, unless exempted by UAE law."
4,"Graduate Trainee - Business, Arts & Law (UAE Nationals)",ADNOC HQ,Abu Dhabi,Graduate Trainee Program,https://jobs.adnoc.ae/us/en/job/17940/Graduate-Trainee-Business-Arts-Law-UAE-Nationals,The ADNOC Group recognizes the importance of having a skilled and engaged workforce in order to maintain and improve the levels of service that ADNOC Group provides globally. The ADNOC Fresh Graduate Program is a key initiative focused on developing the knowledge of its Trainees who may then become a permanent part of the ADNOC Group at the end of the program.,"This program is reserved for UAE Nationals; Medical fitness in accordance with the work environment of the role; Government clearances including certificate of good conduct from Ministry of Interior; Completion of all entry Assessments and interviews; Successful completion of National Service, unless exempted by UAE law."
5,"Back-end Engineer, Graduate - 2025 Start",ByteDance,Dubai,Graduate Trainee Program,https://jobs.bytedance.com/en/position/7398134771819235622/detail,"Provide backend service expertise in developing new features by working closely with design, product and other cross-functional teams. Contribute to overall system design and code quality improvement. Improve product quality through bug fixes, performance analysis and tuning. Collaborate with product and engineering teams in Asia.","Minimum requirements: Bachelor's degree or above in Computer Science or related fields, graduating in 2025. Studying Software Development, Computer Science, Computer Engineering, or a related technical discipline. Good computing foundation, highly proficient in at least one of the programming languages: Golang, Java, and Python. A strong developer and a great problem solver who thrives in a fast-paced environment. English professional language proficiency is required. Preferred requirements: Experience with or knowledge of messaging middleware, relational database and common backend architecture. Passion for building a large-scale product with incredible performance, stability, and elegant user experience. Strong curiosity to learn new things and willingness to explore outside of the comfort zone."
6,Associate Consultant Internship,Bain & Company,Dubai,Temporary Full-Time,https://www.bain.com/careers/work-with-us/internships-programs/associate-consultant-internship/,"We invite current students to join our immersive internship. It'll offer broad exposure to the management consulting industry. You'll be staffed on one of our case teams and do real work interfacing with clients. If successful in the internship, it may lead to invitation for interviews or even an offer to join us as an associate consultant.","Current students who have one full summer left before graduation. Resume/CV, Educational background information, Work experience, Relevant test scores, Strong academic background and analytical skills, high motivation levels, outstanding interpersonal skills. Must be on track to graduate by June 2026."
7,Summer Associate,Bain & Company,Dubai,Intern (Full-Time),https://www.bain.com/careers/work-with-us/internships-programs/summer-associate/,"We invite MBA and advanced degree candidates to join us in one of our offices for a summer-long paid internship to understand the exciting life of a strategy consultant. The details vary by office, but all programs will offer you an opportunity to be staffed on a case team doing real client work that allows you to have an impact and hone your skills.","Studying for an MBA or advanced degree from a top business school or university; A solid team player who’s also an independent thinker; A robust analytical skillset, endless curiosity and a penchant to think the impossible; Must be deadline driven, organized and able to multi-task; Strong verbal, written and presentation skills; Fluency in English; Any additional language and visa requirements for the office you wish to join."
8,"2025 Graduate Technical Sales Representative - UAE National, AWS",Amazon,"Dubai, ARE",Graduate,https://www.amazon.jobs/en/jobs/2819334/2025-graduate-technical-sales-representative-uae-national-aws,"As a technical sales representative, you will have the opportunity to learn how to drive growth within the AWS Worldwide Specialist Organization (WWSO) while having a significant impact on customers’ global computing models by increasing adoption of AWS cloud solutions. You’ll help customers understand and implement best practices around cloud-based solutions, while they migrate existing workloads to the cloud.","UAE National with family book, In final year of study for Bachelor’s or Master’s degree, or graduated in the last 24 months, Computer skills including Microsoft Office (e.g., Excel, Word, etc.)"
9,"2025 Graduate Associate Solutions Architect- UAE National, AWS",Amazon,"Dubai, ARE",Graduate,https://www.amazon.jobs/en/jobs/2813574/2025-graduate-associate-solutions-architect-uae-national-aws,"As an Associate Solutions Architect, you’ll help your customers successfully implement cloud technologies. You’ll solve complex, technical challenges so your customers can focus on their business. This includes using your knowledge to craft scalable, flexible, and resilient cloud architectures. You’ll drive technical solutions discussions, diving deep into the details with customer teams.","• A current student graduating in 2025 or a recent graduate (0-2 years) • A degree in Computer Science / Engineering / Mathematics / Technology / Related science/technical field OR equivalent training, certifications, and/or experience (0-2 years) • Interest and aptitude to learn about and deliver cloud-based solutions to customers • Experience with one of the programming languages like Java, Python, Ruby, Node.js, C#, or C++ OR the interest and technical ability to learn a programming language • Written and verbal communication skills and ability to effectively articulate technical challenges and solutions to both large and small audiences • Fluent proficiency in English. • UAE National with family book"
10,"Associate Professional Services Consultant - Early Career Program- UAE National, AWS",Amazon,"Dubai, ARE",Early Career,https://www.amazon.jobs/en/jobs/2820154/associate-professional-services-consultant-early-career-program-uae-national-aws,"Are you a UAE National looking to kick start your career as a Technical Consultant? Do you want to experiment with innovative technologies, including Cloud Computing, Machine Learning, and Internet of Things? Are you passionate about educating, training, designing, and building enterprise cloud computing solutions for a diverse and challenging set of customers?","A degree in Computer Science / Engineering / Mathematics / Technology / Related science/technical field OR equivalent training, certifications, and/or experience (0-2 years). Interest and aptitude to learn about and deliver cloud-based solutions to customers. Experience with one of the programming languages like Java, Python, Ruby, Node.js, C#, or C++ OR the interest and technical ability to learn a programming language. UAE National with a family book."
